año;Biomasa;Energia Hídrica;Energia Eólica;Energia Solar;Biogás
2010;12,89;7,364;0,114;0;0
2011;13,547;6,856;0,11;0;0
2012;13,599;6,683;0,129;0,0001125;0
2013;14,469;6,098;0,169;0,002;0
2014;15,347;7,311;0,379;0,141;0,007
2015;14,185;7,337;0,548;0,412;0,059
2016;13,814;5,909;0,602;0,762;0,017
2017;13,752;6,367;0,929;1,118;0,032
