Estacion,Material,Fecha,Registros Validados,Registros Preliminares,Registros No Validados
Alerce,mp2.5,2017-03,,,20.611537792509985
Alerce,mp2.5,2017-04,,,31.63094381037716
Alerce,mp2.5,2017-05,,71.15912315006518,52.752777397767005
Alerce,mp2.5,2017-06,,40.540173473869125,6.0
Alerce,mp2.5,2017-07,,38.562552376022886,0.5
Alerce,mp2.5,2017-08,,26.36726273959794,578.3333333333334
Alerce,mp2.5,2017-09,,34.88400432900433,3.0
Alerce,mp2.5,2017-10,,23.94546697746698,7.0
Alerce,mp2.5,2017-11,,11.729437229437229,667.0
Alerce,mp2.5,2017-12,8.0,8.018325705568268,13.0
Alerce,mp2.5,2018-01,6.205645161290322,,
Alerce,mp2.5,2018-02,5.861706349206348,,72.0
Alerce,mp2.5,2018-03,15.67692872603587,,1.0
Alerce,mp2.5,2018-04,23.052432900432905,,3.443333333333333
Alerce,mp2.5,2018-05,35.641132431233366,31.0,5.5
Alerce,mp2.5,2018-06,40.874372608068256,246.77777777777774,
Alerce,mp2.5,2018-07,88.75233829984882,82.5,8.919230769230769
Alerce,mp2.5,2018-08,35.499684431977556,,47.0
Alerce,mp2.5,2018-09,31.691298858146677,87.0,11.0
Alerce,mp2.5,2018-10,16.93159808868084,,85.0
Alerce,mp2.5,2018-11,15.34237483530962,,
Alerce,mp2.5,2018-12,8.11582515194016,46.0,
Alerce,mp2.5,2019-01,7.486710270405923,,4.5160256410256405
Alerce,mp2.5,2019-02,7.484841219096332,,9.0
Alerce,mp2.5,2019-03,14.457398316970549,,8.5
Alerce,mp2.5,2019-04,27.81286231884058,,10.0
Alerce,mp2.5,2019-05,39.74921435965691,18.097916666666666,18.208333333333336
Alerce,mp2.5,2019-06,58.71648550724636,339.0,14.0
Alerce,mp2.5,2019-07,49.866176062686336,122.0,
Alerce,mp2.5,2019-08,44.270357856262486,5.5,
Alerce,mp2.5,2019-09,29.28146464646464,63.5,
Alerce,mp2.5,2019-10,16.60823876917846,59.666666666666664,23.0
Alerce,mp2.5,2019-11,15.862852123721686,34.5,
Alerce,mp2.5,2019-12,10.213826554464701,44.0,18.0
Alerce,mp2.5,2020-01,,7.293635848970024,6.5773809523809526
Alerce,mp2.5,2020-02,,7.1193296209038355,1.0
Alerce,mp2.5,2020-03,,10.006385736750392,2.0
Alerce,mp2.5,2020-04,,23.71944444444444,7.0
Alerce,mp2.5,2020-05,,54.00585979004632,
Alerce,mp2.5,2020-06,,35.78822463768116,
Alerce,mp2.5,2020-07,,52.47675315568022,17.0
Alerce,mp2.5,2020-08,,35.25298036465639,27.0
Alerce,mp2.5,2020-09,,29.761706349206353,
Alerce,mp2.5,2020-10,,19.016129032258068,7.0
Alerce,mp2.5,2020-11,,13.11920642763034,6.443560606060606
Alerce,mp2.5,2020-12,,8.283469335713376,3.0
Alerce,mp2.5,2021-01,,5.188782100177983,14.291666666666666
Alerce,mp2.5,2021-02,,7.076113360323886,7.7683333333333335
Alerce,mp2.5,2021-03,,9.17489587317778,87.33333333333333
Alerce,mp2.5,2021-04,,20.678764090177133,11.0
Alerce,mp2.5,2021-05,,45.13425925925927,
Entre_lagos,co,2011-06,,0.8601988203535597,
Entre_lagos,co,2011-07,,0.6743573114849999,
Entre_lagos,co,2011-08,,0.47660070492149753,
Entre_lagos,mp10,2011-06,,64.03308948052728,
Entre_lagos,mp10,2011-07,,75.15046198926957,
Entre_lagos,mp10,2011-08,,33.835423265151505,
Entre_lagos,mp2.5,2011-06,,41.33230029453337,
Entre_lagos,mp2.5,2011-07,,35.00774086489578,
Entre_lagos,mp2.5,2011-08,,27.78048729057239,
Entre_lagos,no2,2011-06,,5.811139455231362,
Entre_lagos,no2,2011-07,,5.076927816160098,
Entre_lagos,no2,2011-08,,4.096190551515152,
Entre_lagos,so2,2011-06,,2.8624889492753622,
Entre_lagos,so2,2011-07,,1.7229745535438443,
Entre_lagos,so2,2011-08,,1.2291932945286195,
Mirasol,mp10,2013-06,,59.284713645291575,
Mirasol,mp10,2013-07,,72.62931837131835,
Mirasol,mp10,2013-08,,58.09488487903225,
Mirasol,mp10,2013-09,,48.603881166666675,
Mirasol,mp10,2013-10,,24.848330131136045,
Mirasol,mp10,2013-11,,15.289796643939399,
Mirasol,mp10,2013-12,,10.870137728433301,
Mirasol,mp10,2014-01,,13.204133165821254,
Mirasol,mp10,2014-02,,15.649643865467239,
Mirasol,mp10,2014-03,,25.800877426367464,
Mirasol,mp10,2014-04,,38.68679804877008,
Mirasol,mp10,2014-05,,36.49669154277701,
Mirasol,mp10,2014-06,,42.851528295560136,
Mirasol,mp10,2014-07,,45.583443742721755,
Mirasol,mp10,2014-08,,40.01240414754063,
Mirasol,mp10,2014-09,,42.62874376388889,
Mirasol,mp10,2014-10,,33.75254608870969,
Mirasol,mp10,2014-11,,25.48569268055555,
Mirasol,mp10,2014-12,,17.761288306451615,
Mirasol,mp10,2015-01,,12.719237402073734,
Mirasol,mp10,2015-02,,25.712729649906017,
Mirasol,mp10,2015-03,,47.80686036534702,
Mirasol,mp10,2015-04,,54.69890764007845,
Mirasol,mp10,2015-05,,83.3493961904762,
Mirasol,mp2.5,2013-06,,57.30874084954233,
Mirasol,mp2.5,2013-07,,69.7133567677653,
Mirasol,mp2.5,2013-08,,56.19272307795699,
Mirasol,mp2.5,2013-09,,45.86777015277777,
Mirasol,mp2.5,2013-10,,23.488868314691445,
Mirasol,mp2.5,2013-11,,13.44080635732323,
Mirasol,mp2.5,2013-12,,8.716025861521702,
Mirasol,mp2.5,2014-01,,11.572770373015874,
Mirasol,mp2.5,2014-02,,13.250657485007157,
Mirasol,mp2.5,2014-03,,24.61889976180458,
Mirasol,mp2.5,2014-04,,37.63439111914082,
Mirasol,mp2.5,2014-05,,35.61060433964469,
Mirasol,mp2.5,2014-06,,41.64246967325762,
Mirasol,mp2.5,2014-07,,44.73678182418505,
Mirasol,mp2.5,2014-08,,37.5039667794869,
Mirasol,mp2.5,2014-09,,39.73068518055557,
Mirasol,mp2.5,2014-10,,30.12257356182796,
Mirasol,mp2.5,2014-11,,19.89874715277778,
Mirasol,mp2.5,2014-12,,12.006717836021505,
Mirasol,mp2.5,2015-01,,8.187267156105989,
Mirasol,mp2.5,2015-02,,19.6175863283208,
Mirasol,mp2.5,2015-03,,36.84771733993158,
Mirasol,mp2.5,2015-04,,48.13356797244016,
Mirasol,mp2.5,2015-05,,65.240073125,
Mirasol,mp2.5,2015-06,,,
Mirasol,mp2.5,2015-07,,,
Mirasol,mp2.5,2015-08,,,
Mirasol,mp2.5,2015-09,,,
Mirasol,mp2.5,2015-10,,,
Mirasol,mp2.5,2015-11,,,
Mirasol,mp2.5,2015-12,,,
Mirasol,mp2.5,2016-01,,,
Mirasol,mp2.5,2016-02,9.532932755681818,7.7960840740740736,
Mirasol,mp2.5,2016-03,9.730963399602615,,47.37506
Mirasol,mp2.5,2016-04,30.77218234323671,1.0,1.0
Mirasol,mp2.5,2016-05,57.234134055474115,1.0,18.32920989010989
Mirasol,mp2.5,2016-06,47.73337134480676,,104.983
Mirasol,mp2.5,2016-07,35.9310188096073,1.0,17.814320000000002
Mirasol,mp2.5,2016-08,32.88853376168771,,1.0
Mirasol,mp2.5,2016-09,25.805540763888885,66.0983,
Mirasol,mp2.5,2016-10,18.487525201187893,,
Mirasol,mp2.5,2016-11,8.918216055756842,1.0,7.70066
Mirasol,mp2.5,2016-12,9.422286746314935,,2.0788610285714286
Mirasol,mp2.5,2017-01,7.998395167574361,1.0,1.9025566666666667
Mirasol,mp2.5,2017-02,6.6745869514169565,67.0,3.334765
Mirasol,mp2.5,2017-03,18.547891634897358,,13.074000000000002
Mirasol,mp2.5,2017-04,29.195576659420293,,7.8485
Mirasol,mp2.5,2017-05,62.48561217008798,,32.61538461538461
Mirasol,mp2.5,2017-06,54.1983695652174,,105.33333333333333
Mirasol,mp2.5,2017-07,55.80598410472183,,19.0
Mirasol,mp2.5,2017-08,33.8862786348761,6.0,45.0
Mirasol,mp2.5,2017-09,41.306680939833115,,15.5
Mirasol,mp2.5,2017-10,29.261857707509886,,10.0
Mirasol,mp2.5,2017-11,15.455797101449276,,134.0
Mirasol,mp2.5,2017-12,9.627629733520337,,13.333333333333334
Mirasol,mp2.5,2018-01,8.351193115018438,,6.82561605061605
Mirasol,mp2.5,2018-02,8.63671066252588,,
Mirasol,mp2.5,2018-03,15.083949594117897,1.0,11.0
Mirasol,mp2.5,2018-04,20.213768115942035,,
Mirasol,mp2.5,2018-05,27.689165497896212,76.0,30.0
Mirasol,mp2.5,2018-06,30.810153554175297,796.0,
Mirasol,mp2.5,2018-07,70.10779251136897,1.0,
Mirasol,mp2.5,2018-08,32.62540906965872,,
Mirasol,mp2.5,2018-09,26.99804347826086,,
Mirasol,mp2.5,2018-10,15.11658485273492,,
Mirasol,mp2.5,2018-11,11.290870085292282,55.0,
Mirasol,mp2.5,2018-12,6.151961409324663,,
Mirasol,mp2.5,2019-01,5.866717521608824,12.332413600891863,25.555555555555557
Mirasol,mp2.5,2019-02,18.655900032938074,105.5,17.29054515745692
Mirasol,mp2.5,2019-03,18.42986208508649,1.0,
Mirasol,mp2.5,2019-04,33.14760649978041,,1.0
Mirasol,mp2.5,2019-05,44.47154133851187,57.666666666666664,
Mirasol,mp2.5,2019-06,53.3894240723045,18.0,9.0625
Mirasol,mp2.5,2019-07,51.83848427168904,87.0,
