Estación,Material,Fecha,Registros Validados,Registros Preliminares,Registros No Validados
CESFAM_Lago_Ranco,co,2011-06,,0.2687158218489737,
CESFAM_Lago_Ranco,co,2011-07,,0.14421437496455422,
CESFAM_Lago_Ranco,co,2011-08,,0.2552498583091787,
CESFAM_Lago_Ranco,mp10,2011-06,,30.809505328674952,
CESFAM_Lago_Ranco,mp10,2011-07,,68.0628940124505,
CESFAM_Lago_Ranco,mp10,2011-08,,17.67530046296296,
CESFAM_Lago_Ranco,mp2.5,2011-06,,13.185802604813665,
CESFAM_Lago_Ranco,mp2.5,2011-07,,17.009307701612904,
CESFAM_Lago_Ranco,mp2.5,2011-08,,13.421963287037038,
CESFAM_Lago_Ranco,no2,2011-06,,5.735266372706407,
CESFAM_Lago_Ranco,no2,2011-07,,3.271122518525762,
CESFAM_Lago_Ranco,no2,2011-08,,1.5376321933373591,
CESFAM_Lago_Ranco,so2,2011-06,,4.792901884060455,
CESFAM_Lago_Ranco,so2,2011-07,,5.2145794673063035,
CESFAM_Lago_Ranco,so2,2011-08,,4.378925528015665,
Consultorio_Mafil,co,2008-01,,,
Consultorio_Mafil,co,2008-02,,,
Consultorio_Mafil,co,2008-03,,,
Consultorio_Mafil,co,2008-04,,,
Consultorio_Mafil,co,2008-05,,,
Consultorio_Mafil,co,2008-06,,,
Consultorio_Mafil,co,2008-07,,,
Consultorio_Mafil,co,2008-08,,,
Consultorio_Mafil,co,2008-09,,,
Consultorio_Mafil,co,2008-10,,,
Consultorio_Mafil,co,2008-11,,,
Consultorio_Mafil,co,2008-12,,,
Consultorio_Mafil,co,2009-01,,8.008474753401359e-05,
Consultorio_Mafil,co,2009-02,,9.333673352272726e-05,
Consultorio_Mafil,co,2009-03,,0.0002024252679618768,
Consultorio_Mafil,co,2009-04,,0.0002958880160435178,
Consultorio_Mafil,co,2009-05,,0.0004498117868867245,
Consultorio_Mafil,co,2009-06,,0.00045310004520202025,
Consultorio_Mafil,co,2009-07,,,
Consultorio_Mafil,co,2009-08,,,
Consultorio_Mafil,co,2009-09,,,
Consultorio_Mafil,co,2009-10,,,
Consultorio_Mafil,co,2009-11,,,
Consultorio_Mafil,co,2009-12,,,
Consultorio_Mafil,mp10,2008-01,,,
Consultorio_Mafil,mp10,2008-02,,,
Consultorio_Mafil,mp10,2008-03,,,
Consultorio_Mafil,mp10,2008-04,,,
Consultorio_Mafil,mp10,2008-05,,,
Consultorio_Mafil,mp10,2008-06,,,
Consultorio_Mafil,mp10,2008-07,,,
Consultorio_Mafil,mp10,2008-08,,,
Consultorio_Mafil,mp10,2008-09,,,
Consultorio_Mafil,mp10,2008-10,,,
Consultorio_Mafil,mp10,2008-11,,,
Consultorio_Mafil,mp10,2008-12,,,
Consultorio_Mafil,mp10,2009-01,,40.63163628265413,
Consultorio_Mafil,mp10,2009-02,,15.029747842261909,
Consultorio_Mafil,mp10,2009-03,,10.047657806695995,
Consultorio_Mafil,mp10,2009-04,,14.1006881765873,
Consultorio_Mafil,mp10,2009-05,,20.208190242526193,
Consultorio_Mafil,mp10,2009-06,,19.428050166666665,
Consultorio_Mafil,mp10,2009-07,,,
Consultorio_Mafil,mp10,2009-08,,,
Consultorio_Mafil,mp10,2009-09,,,
Consultorio_Mafil,mp10,2009-10,,,
Consultorio_Mafil,mp10,2009-11,,,
Consultorio_Mafil,mp10,2009-12,,,
Consultorio_Mafil,no,2008-01,,,
Consultorio_Mafil,no,2008-02,,,
Consultorio_Mafil,no,2008-03,,,
Consultorio_Mafil,no,2008-04,,,
Consultorio_Mafil,no,2008-05,,,
Consultorio_Mafil,no,2008-06,,,
Consultorio_Mafil,no,2008-07,,,
Consultorio_Mafil,no,2008-08,,,
Consultorio_Mafil,no,2008-09,,,
Consultorio_Mafil,no,2008-10,,,
Consultorio_Mafil,no,2008-11,,,
Consultorio_Mafil,no,2008-12,,,
Consultorio_Mafil,no,2009-01,,3.890528871085237,
Consultorio_Mafil,no,2009-02,,4.619022444727891,
Consultorio_Mafil,no,2009-03,,5.230867692930609,
Consultorio_Mafil,no,2009-04,,5.316559596825398,
Consultorio_Mafil,no,2009-05,,4.629886954760616,
Consultorio_Mafil,no,2009-06,,2.3585702821392496,
Consultorio_Mafil,no,2009-07,,,
Consultorio_Mafil,no,2009-08,,,
Consultorio_Mafil,no,2009-09,,,
Consultorio_Mafil,no,2009-10,,,
Consultorio_Mafil,no,2009-11,,,
Consultorio_Mafil,no,2009-12,,,
Consultorio_Mafil,no2,2008-01,,,
Consultorio_Mafil,no2,2008-02,,,
Consultorio_Mafil,no2,2008-03,,,
Consultorio_Mafil,no2,2008-04,,,
Consultorio_Mafil,no2,2008-05,,,
Consultorio_Mafil,no2,2008-06,,,
Consultorio_Mafil,no2,2008-07,,,
Consultorio_Mafil,no2,2008-08,,,
Consultorio_Mafil,no2,2008-09,,,
Consultorio_Mafil,no2,2008-10,,,
Consultorio_Mafil,no2,2008-11,,,
Consultorio_Mafil,no2,2008-12,,,
Consultorio_Mafil,no2,2009-01,,1.573381839420063,
Consultorio_Mafil,no2,2009-02,,1.7280295884353738,
Consultorio_Mafil,no2,2009-03,,3.5614208191661656,
Consultorio_Mafil,no2,2009-04,,4.6109157396825395,
Consultorio_Mafil,no2,2009-05,,4.564577456581117,
Consultorio_Mafil,no2,2009-06,,2.8272211391594513,
Consultorio_Mafil,no2,2009-07,,,
Consultorio_Mafil,no2,2009-08,,,
Consultorio_Mafil,no2,2009-09,,,
Consultorio_Mafil,no2,2009-10,,,
Consultorio_Mafil,no2,2009-11,,,
Consultorio_Mafil,no2,2009-12,,,
Consultorio_Mafil,nox,2008-01,,,
Consultorio_Mafil,nox,2008-02,,,
Consultorio_Mafil,nox,2008-03,,,
Consultorio_Mafil,nox,2008-04,,,
Consultorio_Mafil,nox,2008-05,,,
Consultorio_Mafil,nox,2008-06,,,
Consultorio_Mafil,nox,2008-07,,,
Consultorio_Mafil,nox,2008-08,,,
Consultorio_Mafil,nox,2008-09,,,
Consultorio_Mafil,nox,2008-10,,,
Consultorio_Mafil,nox,2008-11,,,
