Estacion,Material,Registros Validados,Registros Preliminares,Registros No Validados,Fecha
Las_Encinas_Temuco,co,,0.947375,,2004-08-08
Las_Encinas_Temuco,co,,1.0533748248333337,,2004-08-09
Las_Encinas_Temuco,co,,0.8966249574999999,,2004-08-10
Las_Encinas_Temuco,co,,0.29595808316666666,,2004-08-11
Las_Encinas_Temuco,co,,0.6339130433043478,,2004-08-12
Las_Encinas_Temuco,co,,0.7448329164999999,,2004-08-13
Las_Encinas_Temuco,co,,0.8317914999999999,,2004-08-14
Las_Encinas_Temuco,co,,0.8245829166666666,,2004-08-15
Las_Encinas_Temuco,co,,0.8459156665000003,,2004-08-16
Las_Encinas_Temuco,co,,0.9377498333333332,,2004-08-17
Las_Encinas_Temuco,co,,1.5546249166666668,,2004-08-18
Las_Encinas_Temuco,co,,1.1479166662500002,,2004-08-19
Las_Encinas_Temuco,co,,0.8651661625,,2004-08-20
Las_Encinas_Temuco,co,,0.7927081666666668,,2004-08-21
Las_Encinas_Temuco,co,,0.936041625,,2004-08-22
Las_Encinas_Temuco,co,,0.25854166625,,2004-08-23
Las_Encinas_Temuco,co,,0.6066665790000001,,2004-08-24
Las_Encinas_Temuco,co,,1.4673333333333332,,2004-08-25
Las_Encinas_Temuco,co,,0.43449983333333336,,2004-08-26
Las_Encinas_Temuco,co,,0.8795651304347826,,2004-08-27
Las_Encinas_Temuco,co,,1.2730412916666667,,2004-08-28
Las_Encinas_Temuco,co,,0.1777499998333333,,2004-08-29
Las_Encinas_Temuco,co,,0.07966666591666667,,2004-08-30
Las_Encinas_Temuco,co,,0.7053749162499999,,2004-08-31
Las_Encinas_Temuco,co,,1.967832666666667,,2004-09-01
Las_Encinas_Temuco,co,,1.0361246666666668,,2004-09-02
Las_Encinas_Temuco,co,,0.18958324941666668,,2004-09-03
Las_Encinas_Temuco,co,,0.23095816250000004,,2004-09-04
Las_Encinas_Temuco,co,,0.38379158333333335,,2004-09-05
Las_Encinas_Temuco,co,,0.2619165746666667,,2004-09-06
Las_Encinas_Temuco,co,,1.0246658331666667,,2004-09-07
Las_Encinas_Temuco,co,,1.4799576666666667,,2004-09-08
Las_Encinas_Temuco,co,,1.1765450909090909,,2004-09-09
Las_Encinas_Temuco,co,,1.05845825,,2004-09-10
Las_Encinas_Temuco,co,,0.780333324,,2004-09-11
Las_Encinas_Temuco,co,,0.760374825,,2004-09-12
Las_Encinas_Temuco,co,,0.3006249125,,2004-09-13
